ccode1,country,year,IdealPointDistance
90,RUS,2019,0.00424749999999999
90,CHN,2019,0.4472844
91,RUS,2019,0.01172935
91,CHN,2019,0.43980255
92,RUS,2019,0.4825652
92,CHN,2019,0.0310333
93,RUS,2019,1.6242429
93,CHN,2019,1.172711
94,RUS,2019,0.2593162
94,CHN,2019,0.1922157
95,RUS,2019,0.18777767
95,CHN,2019,0.26375423
100,RUS,2019,0.04456136
100,CHN,2019,0.40697054
101,RUS,2019,1.8638359
101,CHN,2019,1.412304
110,RUS,2019,0.3477359
110,CHN,2019,0.103796
115,RUS,2019,0.7870703
115,CHN,2019,0.3355384
130,RUS,2019,0.5560424
130,CHN,2019,0.1045105
135,RUS,2019,0.2782127
135,CHN,2019,0.1733192
140,RUS,2019,0.189457
140,CHN,2019,0.6409889
145,RUS,2019,0.9256706
145,CHN,2019,0.4741387
150,RUS,2019,0.2907403
150,CHN,2019,0.1607916
155,RUS,2019,0.3392716
155,CHN,2019,0.1122603
160,RUS,2019,0.19513458
160,CHN,2019,0.25639732
165,RUS,2019,0.510231
165,CHN,2019,0.0586991
200,RUS,2019,1.5725691
200,CHN,2019,2.024101
205,RUS,2019,0.6640194
205,CHN,2019,1.1155513
210,RUS,2019,0.9539841
210,CHN,2019,1.405516
211,RUS,2019,0.9682371
211,CHN,2019,1.419769
212,RUS,2019,0.9549971
212,CHN,2019,1.406529
220,RUS,2019,1.3298821
220,CHN,2019,1.781414
221,RUS,2019,0.9131121
221,CHN,2019,1.364644
223,RUS,2019,0.6205422
223,CHN,2019,1.0720741
225,RUS,2019,0.6749552
225,CHN,2019,1.1264871
230,RUS,2019,0.9749721
230,CHN,2019,1.426504
232,RUS,2019,0.6539036
232,CHN,2019,1.1054355
235,RUS,2019,0.9371321
235,CHN,2019,1.388664
255,RUS,2019,1.0883371
255,CHN,2019,1.539869
290,RUS,2019,1.0792981
290,CHN,2019,1.53083
305,RUS,2019,0.7052737
305,CHN,2019,1.1568056
310,RUS,2019,1.1184241
310,CHN,2019,1.569956
316,RUS,2019,1.1423861
316,CHN,2019,1.593918
317,RUS,2019,1.0183931
317,CHN,2019,1.469925
325,RUS,2019,0.9601701
325,CHN,2019,1.411702
331,RUS,2019,0.6463338
331,CHN,2019,1.0978657
338,RUS,2019,0.6319061
338,CHN,2019,1.083438
339,RUS,2019,1.0351691
339,CHN,2019,1.486701
341,RUS,2019,0.9432331
341,CHN,2019,1.394765
343,RUS,2019,0.9256811
343,CHN,2019,1.377213
344,RUS,2019,0.9412401
344,CHN,2019,1.392772
345,RUS,2019,0.3415195
345,CHN,2019,0.7930514
346,RUS,2019,0.6445835
346,CHN,2019,1.0961154
349,RUS,2019,0.9148501
349,CHN,2019,1.366382
350,RUS,2019,0.9215281
350,CHN,2019,1.37306
352,RUS,2019,0.6268746
352,CHN,2019,1.0784065
355,RUS,2019,1.0114471
355,CHN,2019,1.462979
359,RUS,2019,0.5700104
359,CHN,2019,1.0215423
360,RUS,2019,1.0658381
360,CHN,2019,1.51737
365,CHN,2019,0.4515319
366,RUS,2019,1.0524841
366,CHN,2019,1.504016
367,RUS,2019,1.0619691
367,CHN,2019,1.513501
368,RUS,2019,1.1089551
368,CHN,2019,1.560487
369,RUS,2019,1.1136601
369,CHN,2019,1.565192
370,RUS,2019,0.3016993
370,CHN,2019,0.1498326
371,RUS,2019,0.0299758
371,CHN,2019,0.4815077
372,RUS,2019,0.8043745
372,CHN,2019,1.2559064
373,RUS,2019,0.7890308
373,CHN,2019,0.3374989
375,RUS,2019,0.803361
375,CHN,2019,1.2548929
380,RUS,2019,0.7537042
380,CHN,2019,1.2052361
385,RUS,2019,0.8416936
385,CHN,2019,1.2932255
390,RUS,2019,1.0328751
390,CHN,2019,1.484407
